ttM,uM,fBT,hp,tcM,startR,branch,BvR_T,BvR_Cq%,BvR_Cs%,BvR_Tb%,SvA_T,SvA_WR%,SvR_T,SvR_WR%,WvR_T,WvR_WR%
10,8,12,2500,3,50,25,45.0,0,100,0,105.4,30.0,45.0,0.0,47.2,0.0
10,8,12,2500,3,50,30,47.8,0,100,0,118.2,63.3,54.8,16.7,46.6,0.0
10,8,12,2500,3,50,35,45.0,0,100,0,45.0,100.0,47.4,86.7,49.9,6.7
10,8,12,2500,3,50,40,45.1,0,100,0,45.0,100.0,45.0,93.3,62.7,10.0
10,8,12,2500,4,30,25,175.2,0,57,43,108.1,40.0,108.6,63.3,88.1,60.0
10,8,12,2500,4,30,30,173.8,0,60,40,110.2,70.0,99.3,73.3,86.1,76.7
10,8,12,2500,4,30,35,162.6,0,63,37,117.2,73.3,111.3,86.7,95.3,86.7
10,8,12,2500,4,30,40,181.3,0,53,47,125.6,73.3,115.7,90.0,107.2,90.0
10,8,12,2500,4,40,25,198.6,0,43,57,103.8,63.3,73.3,16.7,73.1,10.0
10,8,12,2500,4,40,30,174.1,0,53,47,107.2,60.0,115.7,50.0,71.6,36.7
10,8,12,2500,4,40,35,165.1,0,60,40,119.1,76.7,111.4,93.3,81.9,66.7
10,8,12,2500,4,40,40,168.8,0,57,43,128.9,90.0,117.1,70.0,95.4,66.7
10,8,12,2500,4,50,25,170.2,0,57,43,99.0,43.3,67.8,20.0,66.8,13.3
10,8,12,2500,4,50,30,161.6,0,60,40,106.3,63.3,95.3,50.0,74.0,30.0
10,8,12,2500,4,50,35,223.1,0,33,67,118.8,83.3,100.4,83.3,87.8,63.3
10,8,12,2500,4,50,40,165.2,0,57,43,113.0,70.0,105.9,80.0,83.0,63.3
10,8,12,2500,5,30,25,205.0,0,43,57,98.6,30.0,100.4,43.3,78.9,13.3
10,8,12,2500,5,30,30,147.6,0,70,30,104.4,60.0,109.2,73.3,99.5,56.7
10,8,12,2500,5,30,35,174.7,0,60,40,117.3,60.0,105.2,80.0,104.4,56.7
10,8,12,2500,5,30,40,168.3,0,60,40,127.3,83.3,133.0,90.0,124.2,83.3
10,8,12,2500,5,40,25,203.2,0,43,57,101.3,40.0,83.8,20.0,83.6,20.0
10,8,12,2500,5,40,30,186.4,0,53,47,109.4,46.7,93.7,70.0,84.1,80.0
10,8,12,2500,5,40,35,144.4,0,70,30,118.5,83.3,118.6,96.7,90.9,70.0
10,8,12,2500,5,40,40,173.2,0,57,43,114.5,76.7,103.8,70.0,92.2,86.7
10,8,12,2500,5,50,25,120.4,0,77,23,103.7,63.3,80.8,36.7,70.5,13.3
10,8,12,2500,5,50,30,190.6,0,47,53,109.5,73.3,103.3,70.0,72.5,26.7
10,8,12,2500,5,50,35,149.1,0,67,33,111.1,66.7,113.6,66.7,88.1,53.3
10,8,12,2500,5,50,40,167.0,0,57,43,121.1,66.7,122.7,90.0,94.1,70.0
10,8,12,3000,3,30,25,170.5,0,57,43,122.7,40.0,87.6,10.0,64.6,0.0
10,8,12,3000,3,30,30,196.7,0,47,53,129.4,73.3,132.1,70.0,90.0,40.0
10,8,12,3000,3,30,35,221.7,0,33,67,122.7,76.7,108.9,80.0,93.6,60.0
10,8,12,3000,3,30,40,167.4,0,57,43,128.3,90.0,120.9,86.7,93.3,73.3
10,8,12,3000,3,40,25,163.4,0,57,43,119.0,50.0,86.6,36.7,63.4,6.7
10,8,12,3000,3,40,30,141.7,0,67,33,122.2,56.7,106.5,70.0,73.5,33.3
10,8,12,3000,3,40,35,188.2,0,47,53,130.1,80.0,124.2,83.3,82.7,40.0
10,8,12,3000,3,40,40,187.5,0,47,53,140.5,83.3,122.4,83.3,86.9,56.7
10,8,12,3000,3,50,25,57.4,0,97,3,116.8,43.3,47.4,3.3,46.4,0.0
10,8,12,3000,3,50,30,47.8,0,100,0,124.6,56.7,55.8,13.3,48.0,0.0
10,8,12,3000,3,50,35,49.5,0,100,0,45.0,100.0,47.6,96.7,56.0,3.3
10,8,12,3000,3,50,40,47.8,0,100,0,46.9,96.7,45.0,96.7,62.1,6.7
10,8,12,3000,4,30,25,182.2,0,53,47,113.5,50.0,101.4,36.7,89.5,23.3
10,8,12,3000,4,30,30,189.1,0,50,50,130.3,70.0,116.4,90.0,99.9,66.7
10,8,12,3000,4,30,35,181.4,0,53,47,119.8,60.0,120.1,63.3,98.4,63.3
10,8,12,3000,4,30,40,202.6,0,47,53,130.7,73.3,123.9,90.0,122.3,76.7
10,8,12,3000,4,40,25,213.3,0,37,63,118.5,40.0,78.3,23.3,68.5,13.3
10,8,12,3000,4,40,30,136.0,0,70,30,119.7,63.3,113.8,70.0,79.3,43.3
10,8,12,3000,4,40,35,189.2,0,47,53,132.9,80.0,115.3,90.0,95.7,56.7
10,8,12,3000,4,40,40,167.6,0,57,43,136.9,86.7,129.9,80.0,98.8,63.3
10,8,12,3000,4,50,25,193.5,0,47,53,114.2,43.3,80.1,23.3,68.4,20.0
